     Scat angle      F11             F12            F22           F33             F43            F44
   0.540000E+00   0.167566E+01  -0.754511E-04   0.167287E+01   0.167287E+01   0.391463E-08   0.167010E+01
   0.550000E+00   0.167566E+01  -0.785948E-04   0.167287E+01   0.167287E+01   0.407774E-08   0.167009E+01
   0.560000E+00   0.167565E+01  -0.817385E-04   0.167287E+01   0.167287E+01   0.424084E-08   0.167009E+01
   0.570000E+00   0.167565E+01  -0.848822E-04   0.167286E+01   0.167286E+01   0.440395E-08   0.167009E+01
   0.580000E+00   0.167565E+01  -0.880259E-04   0.167286E+01   0.167286E+01   0.456705E-08   0.167008E+01
   0.590000E+00   0.167564E+01  -0.911695E-04   0.167286E+01   0.167286E+01   0.473016E-08   0.167008E+01
   0.600000E+00   0.167564E+01  -0.943132E-04   0.167285E+01   0.167285E+01   0.489326E-08   0.167008E+01
   0.610000E+00   0.167564E+01  -0.974568E-04   0.167285E+01   0.167285E+01   0.505637E-08   0.167007E+01
   0.620000E+00   0.167563E+01  -0.100600E-03   0.167285E+01   0.167285E+01   0.521947E-08   0.167007E+01
   0.630000E+00   0.167563E+01  -0.103744E-03   0.167284E+01   0.167284E+01   0.538257E-08   0.167007E+01
   0.640000E+00   0.167563E+01  -0.106888E-03   0.167284E+01   0.167284E+01   0.554567E-08   0.167006E+01
   0.650000E+00   0.167562E+01  -0.110031E-03   0.167284E+01   0.167284E+01   0.570877E-08   0.167006E+01
   0.660000E+00   0.167562E+01  -0.113175E-03   0.167283E+01   0.167283E+01   0.587187E-08   0.167006E+01
   0.670000E+00   0.167561E+01  -0.116318E-03   0.167283E+01   0.167283E+01   0.603497E-08   0.167005E+01
   0.680000E+00   0.167561E+01  -0.119462E-03   0.167283E+01   0.167283E+01   0.619807E-08   0.167005E+01
   0.690000E+00   0.167561E+01  -0.122605E-03   0.167282E+01   0.167282E+01   0.636117E-08   0.167004E+01
   0.700000E+00   0.167561E+01  -0.125749E-03   0.167282E+01   0.167282E+01   0.652426E-08   0.167004E+01
